No.,Time,Tspan(s),G_High,G_Avg,G_Low
1,2026-05-25 15:13:14:305,0.000,  78.07,  70.14,  59.21
2,2026-05-25 15:13:14:306,0.000,  78.07,  70.14,  55.78
3,2026-05-25 15:13:14:322,0.017,  78.07,  69.79,  59.21
4,2026-05-25 15:13:14:363,0.056,  78.07,  69.79,  55.78
5,2026-05-25 15:13:14:404,0.098,  78.07,  69.79,  59.21
6,2026-05-25 15:13:14:444,0.138,  78.07,  70.14,  55.78
7,2026-05-25 15:13:14:484,0.178,  78.07,  70.14,  55.78
8,2026-05-25 15:13:14:524,0.218,  81.07,  70.50,  55.78
9,2026-05-25 15:13:14:562,0.256,  78.07,  71.20,  59.21
10,2026-05-25 15:13:14:602,0.297,  78.07,  70.85,  59.21
11,2026-05-25 15:13:14:643,0.338,  78.07,  70.50,  55.78
12,2026-05-25 15:13:14:684,0.378,  81.07,  70.85,  59.21
13,2026-05-25 15:13:14:722,0.417,  78.07,  70.85,  59.21
14,2026-05-25 15:13:14:762,0.457,  81.07,  70.50,  59.21
15,2026-05-25 15:13:14:803,0.497,  78.07,  70.50,  59.21
16,2026-05-25 15:13:14:843,0.537,  78.07,  70.50,  59.21
17,2026-05-25 15:13:14:882,0.577,  81.07,  70.14,  59.21
18,2026-05-25 15:13:14:923,0.617,  81.07,  70.50,  59.21
19,2026-05-25 15:13:14:963,0.658,  81.07,  70.50,  55.78
20,2026-05-25 15:13:15:002,0.697,  81.07,  70.50,  59.21
21,2026-05-25 15:13:15:043,0.738,  81.07,  70.85,  59.21
22,2026-05-25 15:13:15:083,0.777,  78.07,  68.02,  55.78
23,2026-05-25 15:13:15:124,0.819,  78.07,  68.37,  55.78
24,2026-05-25 15:13:15:162,0.857,  78.07,  68.37,  55.78
25,2026-05-25 15:13:15:202,0.897,  78.07,  68.37,  55.78
26,2026-05-25 15:13:15:242,0.937,  78.07,  67.66,  55.78
27,2026-05-25 15:13:15:282,0.977,  78.07,  67.66,  55.78
28,2026-05-25 15:13:15:324,1.018,  78.07,  68.02,  55.78
29,2026-05-25 15:13:15:363,1.057,  78.07,  68.02,  55.78
30,2026-05-25 15:13:15:403,1.097,  78.07,  67.66,  55.78
31,2026-05-25 15:13:15:443,1.137,  78.07,  67.66,  55.78
32,2026-05-25 15:13:15:483,1.178,  75.01,  67.66,  55.78
33,2026-05-25 15:13:15:522,1.216,  78.07,  68.02,  55.78
34,2026-05-25 15:13:15:562,1.257,  78.07,  68.02,  55.78
35,2026-05-25 15:13:15:603,1.297,  78.07,  68.02,  55.78
36,2026-05-25 15:13:15:643,1.338,  78.07,  68.37,  55.78
37,2026-05-25 15:13:15:683,1.377,  78.07,  68.02,  55.78
38,2026-05-25 15:13:15:722,1.417,  78.07,  68.02,  55.78
39,2026-05-25 15:13:15:764,1.459,  78.07,  68.02,  55.78
40,2026-05-25 15:13:15:805,1.499,  78.07,  68.02,  55.78
41,2026-05-25 15:13:15:843,1.537,  78.07,  68.02,  55.78
42,2026-05-25 15:13:15:883,1.577,  78.07,  68.37,  55.78
43,2026-05-25 15:13:15:923,1.617,  78.07,  68.37,  55.78
44,2026-05-25 15:13:15:980,1.674,  78.07,  68.37,  55.78
45,2026-05-25 15:13:16:004,1.698,  78.07,  68.37,  55.78
46,2026-05-25 15:13:16:043,1.737,  78.07,  68.02,  55.78
47,2026-05-25 15:13:16:083,1.777,  75.01,  67.66,  55.78
48,2026-05-25 15:13:16:123,1.817,  78.07,  68.02,  55.78
49,2026-05-25 15:13:16:163,1.857,  78.07,  68.37,  55.78
50,2026-05-25 15:13:16:202,1.896,  78.07,  68.73,  55.78
51,2026-05-25 15:13:16:244,1.938,  78.07,  68.37,  55.78
52,2026-05-25 15:13:16:285,1.979,  78.07,  68.02,  55.78
53,2026-05-25 15:13:16:324,2.018,  78.07,  68.02,  55.78
54,2026-05-25 15:13:16:363,2.057,  78.07,  68.02,  55.78
